--Fold 1:
--Epoch 22/40: Train Loss 0.0001, Train Acc 1.0000, Val Loss 0.2795, Val Acc 0.9300, Best Acc 0.93
--Epoch 23/40: Train Loss 0.0001, Train Acc 1.0000, Val Loss 0.2791, Val Acc 0.9300, Best Acc 0.93
--Epoch 24/40: Train Loss 0.0001, Train Acc 1.0000, Val Loss 0.2788, Val Acc 0.9300, Best Acc 0.93
--Epoch 25/40: Train Loss 0.0001, Train Acc 1.0000, Val Loss 0.2786, Val Acc 0.9300, Best Acc 0.93
--Epoch 26/40: Train Loss 0.0001, Train Acc 1.0000, Val Loss 0.2784, Val Acc 0.9300, Best Acc 0.93
--Epoch 27/40: Train Loss 0.0001, Train Acc 1.0000, Val Loss 0.2783, Val Acc 0.9300, Best Acc 0.93
--Epoch 28/40: Train Loss 0.0000, Train Acc 1.0000, Val Loss 0.2782, Val Acc 0.9300, Best Acc 0.93
--Epoch 29/40: Train Loss 0.0000, Train Acc 1.0000, Val Loss 0.2781, Val Acc 0.9300, Best Acc 0.93
--Epoch 30/40: Train Loss 0.0000, Train Acc 1.0000, Val Loss 0.2781, Val Acc 0.9300, Best Acc 0.93
--Epoch 31/40: Train Loss 0.0000, Train Acc 1.0000, Val Loss 0.2781, Val Acc 0.9300, Best Acc 0.93
--Epoch 32/40: Train Loss 0.0000, Train Acc 1.0000, Val Loss 0.2782, Val Acc 0.9300, Best Acc 0.93
--Epoch 33/40: Train Loss 0.0000, Train Acc 1.0000, Val Loss 0.2782, Val Acc 0.9300, Best Acc 0.93
--Epoch 34/40: Train Loss 0.0000, Train Acc 1.0000, Val Loss 0.2784, Val Acc 0.9300, Best Acc 0.93
--Epoch 35/40: Train Loss 0.0000, Train Acc 1.0000, Val Loss 0.2785, Val Acc 0.9300, Best Acc 0.93
--Epoch 36/40: Train Loss 0.0000, Train Acc 1.0000, Val Loss 0.2787, Val Acc 0.9300, Best Acc 0.93
--Epoch 37/40: Train Loss 0.0000, Train Acc 1.0000, Val Loss 0.2788, Val Acc 0.9300, Best Acc 0.93
--Epoch 38/40: Train Loss 0.0000, Train Acc 1.0000, Val Loss 0.2790, Val Acc 0.9300, Best Acc 0.93
--Epoch 39/40: Train Loss 0.0000, Train Acc 1.0000, Val Loss 0.2791, Val Acc 0.9300, Best Acc 0.93
--Epoch 40/40: Train Loss 0.0000, Train Acc 1.0000, Val Loss 0.2793, Val Acc 0.9300, Best Acc 0.93
--Removing layers: [8, 9, 10]
Pruned model to 9 layers.
--Epoch 1/40: Train Loss 0.0402, Train Acc 0.8838, Val Loss 0.7649, Val Acc 0.8975, Best Acc 0.8975
--Epoch 2/40: Train Loss 0.0081, Train Acc 0.9975, Val Loss 0.5127, Val Acc 0.9075, Best Acc 0.9075
--Epoch 3/40: Train Loss 0.0036, Train Acc 1.0000, Val Loss 0.4325, Val Acc 0.9100, Best Acc 0.91
--Epoch 4/40: Train Loss 0.0022, Train Acc 1.0000, Val Loss 0.3914, Val Acc 0.9125, Best Acc 0.9125
--Epoch 5/40: Train Loss 0.0015, Train Acc 1.0000, Val Loss 0.3671, Val Acc 0.9200, Best Acc 0.92
--Epoch 6/40: Train Loss 0.0011, Train Acc 1.0000, Val Loss 0.3506, Val Acc 0.9200, Best Acc 0.92
--Epoch 7/40: Train Loss 0.0009, Train Acc 1.0000, Val Loss 0.3381, Val Acc 0.9225, Best Acc 0.9225
--Epoch 8/40: Train Loss 0.0007, Train Acc 1.0000, Val Loss 0.3282, Val Acc 0.9200, Best Acc 0.9225
--Epoch 9/40: Train Loss 0.0006, Train Acc 1.0000, Val Loss 0.3204, Val Acc 0.9225, Best Acc 0.9225
--Epoch 10/40: Train Loss 0.0005, Train Acc 1.0000, Val Loss 0.3141, Val Acc 0.9275, Best Acc 0.9275
--Epoch 11/40: Train Loss 0.0004, Train Acc 1.0000, Val Loss 0.3089, Val Acc 0.9275, Best Acc 0.9275
--Epoch 12/40: Train Loss 0.0004, Train Acc 1.0000, Val Loss 0.3046, Val Acc 0.9275, Best Acc 0.9275
--Epoch 13/40: Train Loss 0.0003, Train Acc 1.0000, Val Loss 0.3010, Val Acc 0.9275, Best Acc 0.9275
--Epoch 14/40: Train Loss 0.0003, Train Acc 1.0000, Val Loss 0.2980, Val Acc 0.9275, Best Acc 0.9275
--Epoch 15/40: Train Loss 0.0003, Train Acc 1.0000, Val Loss 0.2954, Val Acc 0.9300, Best Acc 0.93
--Epoch 16/40: Train Loss 0.0002, Train Acc 1.0000, Val Loss 0.2932, Val Acc 0.9300, Best Acc 0.93
--Epoch 17/40: Train Loss 0.0002, Train Acc 1.0000, Val Loss 0.2913, Val Acc 0.9300, Best Acc 0.93
--Epoch 18/40: Train Loss 0.0002, Train Acc 1.0000, Val Loss 0.2896, Val Acc 0.9275, Best Acc 0.93
--Epoch 19/40: Train Loss 0.0002, Train Acc 1.0000, Val Loss 0.2882, Val Acc 0.9275, Best Acc 0.93
--Epoch 20/40: Train Loss 0.0002, Train Acc 1.0000, Val Loss 0.2870, Val Acc 0.9250, Best Acc 0.93
--Epoch 21/40: Train Loss 0.0001, Train Acc 1.0000, Val Loss 0.2859, Val Acc 0.9250, Best Acc 0.93
--Epoch 22/40: Train Loss 0.0001, Train Acc 1.0000, Val Loss 0.2849, Val Acc 0.9275, Best Acc 0.93
--Epoch 23/40: Train Loss 0.0001, Train Acc 1.0000, Val Loss 0.2841, Val Acc 0.9275, Best Acc 0.93
--Epoch 24/40: Train Loss 0.0001, Train Acc 1.0000, Val Loss 0.2834, Val Acc 0.9275, Best Acc 0.93
--Epoch 25/40: Train Loss 0.0001, Train Acc 1.0000, Val Loss 0.2829, Val Acc 0.9275, Best Acc 0.93
--Epoch 26/40: Train Loss 0.0001, Train Acc 1.0000, Val Loss 0.2823, Val Acc 0.9275, Best Acc 0.93
--Epoch 27/40: Train Loss 0.0001, Train Acc 1.0000, Val Loss 0.2819, Val Acc 0.9275, Best Acc 0.93
--Epoch 28/40: Train Loss 0.0001, Train Acc 1.0000, Val Loss 0.2815, Val Acc 0.9275, Best Acc 0.93
--Epoch 29/40: Train Loss 0.0001, Train Acc 1.0000, Val Loss 0.2812, Val Acc 0.9275, Best Acc 0.93
--Epoch 30/40: Train Loss 0.0001, Train Acc 1.0000, Val Loss 0.2810, Val Acc 0.9275, Best Acc 0.93
--Epoch 31/40: Train Loss 0.0001, Train Acc 1.0000, Val Loss 0.2808, Val Acc 0.9275, Best Acc 0.93
--Epoch 32/40: Train Loss 0.0001, Train Acc 1.0000, Val Loss 0.2806, Val Acc 0.9275, Best Acc 0.93
--Epoch 33/40: Train Loss 0.0001, Train Acc 1.0000, Val Loss 0.2805, Val Acc 0.9275, Best Acc 0.93
--Epoch 34/40: Train Loss 0.0001, Train Acc 1.0000, Val Loss 0.2805, Val Acc 0.9275, Best Acc 0.93
